,iterations,replicate,variable,value
0,3000.000000000001,0.0,distance,0.15069899833579747
1,3000.000000000001,1.0,distance,0.26015135398984135
2,3000.000000000001,2.0,distance,0.10128656015071069
3,3000.000000000001,3.0,distance,0.13137342226708126
4,3000.000000000001,4.0,distance,0.19301167659978336
5,3000.000000000001,5.0,distance,0.21964655147070888
6,3000.000000000001,6.0,distance,0.08083532697350759
7,3000.000000000001,7.0,distance,0.24656663290916891
8,3000.000000000001,8.0,distance,0.2332188034858651
9,3000.000000000001,9.0,distance,0.1321638857753511
10,3933.892640241518,0.0,distance,0.14187700830167516
11,3933.892640241518,1.0,distance,0.03615245363582953
12,3933.892640241518,2.0,distance,0.15693769816912206
13,3933.892640241518,3.0,distance,0.1936474241986037
14,3933.892640241518,4.0,distance,0.3045814991802984
15,3933.892640241518,5.0,distance,0.17613270259125202
16,3933.892640241518,6.0,distance,0.15017120180865007
17,3933.892640241518,7.0,distance,0.1884276204475186
18,3933.892640241518,8.0,distance,0.06083216465913499
19,3933.892640241518,9.0,distance,0.12265339022550303
20,5158.503768315453,0.0,distance,0.08137222509369613
21,5158.503768315453,1.0,distance,0.03628354033600667
22,5158.503768315453,2.0,distance,0.14280897312273
23,5158.503768315453,3.0,distance,0.0937103057821207
24,5158.503768315453,4.0,distance,0.20383502423234368
25,5158.503768315453,5.0,distance,0.17780424909323655
26,5158.503768315453,6.0,distance,0.04330295542337803
27,5158.503768315453,7.0,distance,0.07070179906351048
28,5158.503768315453,8.0,distance,0.061269970586825595
29,5158.503768315453,9.0,distance,0.1197872383402041
30,6764.333336278097,0.0,distance,0.06926574431295829
31,6764.333336278097,1.0,distance,0.10880995979925123
32,6764.333336278097,2.0,distance,0.03161679959407149
33,6764.333336278097,3.0,distance,0.03658774857902736
34,6764.333336278097,4.0,distance,0.06790306763436893
35,6764.333336278097,5.0,distance,0.03795331884037734
36,6764.333336278097,6.0,distance,0.12180084277707293
37,6764.333336278097,7.0,distance,0.03505727756111954
38,6764.333336278097,8.0,distance,0.04332088758136321
39,6764.333336278097,9.0,distance,0.09595920174220163
40,8870.053709241583,0.0,distance,0.04106591768298018
41,8870.053709241583,1.0,distance,0.09458529320582909
42,8870.053709241583,2.0,distance,0.03846305153690821
43,8870.053709241583,3.0,distance,0.05335566085464527
44,8870.053709241583,4.0,distance,0.027720677710857733
45,8870.053709241583,5.0,distance,0.0583839625271082
46,8870.053709241583,6.0,distance,0.05512653793430433
47,8870.053709241583,7.0,distance,0.07865606792277591
48,8870.053709241583,8.0,distance,0.08469607451502581
49,8870.053709241583,9.0,distance,0.050778534238625106
50,11631.279668444131,0.0,distance,0.06221340384475549
51,11631.279668444131,1.0,distance,0.0581236188363522
52,11631.279668444131,2.0,distance,0.025440179364171867
53,11631.279668444131,3.0,distance,0.06498213605442771
54,11631.279668444131,4.0,distance,0.00843995974895595
55,11631.279668444131,5.0,distance,0.06398735670508038
56,11631.279668444131,6.0,distance,0.034491181698256046
57,11631.279668444131,7.0,distance,0.03926565645190361
58,11631.279668444131,8.0,distance,0.09373517303186585
59,11631.279668444131,9.0,distance,0.07093876014929557
60,15252.068494761052,0.0,distance,0.020522529231481235
61,15252.068494761052,1.0,distance,0.03676173288733198
62,15252.068494761052,2.0,distance,0.020355668373642777
63,15252.068494761052,3.0,distance,0.02273467186254785
64,15252.068494761052,4.0,distance,0.08180983125973373
65,15252.068494761052,5.0,distance,0.04107025467145775
66,15252.068494761052,6.0,distance,0.029216579608505544
67,15252.068494761052,7.0,distance,0.01936762227214439
68,15252.068494761052,8.0,distance,0.08664519830854078
69,15252.068494761052,9.0,distance,0.026324519513842848
70,20000.000000000004,0.0,distance,0.015065024607554212
71,20000.000000000004,1.0,distance,0.06691354659054094
72,20000.000000000004,2.0,distance,0.030705969188596693
