,iterations,replicate,variable,value
0,1000.0,0.0,kld,0.004181465174191601
1,1000.0,1.0,kld,0.0005606300417175802
2,1000.0,2.0,kld,0.00045395713315987685
3,1000.0,3.0,kld,0.0005735375394759767
4,1000.0,4.0,kld,0.0018595989034315696
5,1000.0,5.0,kld,0.0031418963420581925
6,1000.0,6.0,kld,0.0005112052483577934
7,1000.0,7.0,kld,0.00043526322615972113
8,1000.0,8.0,kld,0.0009987622584919364
9,1000.0,9.0,kld,0.0013368241093003608
10,1258.4989506418272,0.0,kld,0.001104646438612189
11,1258.4989506418272,1.0,kld,0.0003724234822535255
12,1258.4989506418272,2.0,kld,0.0002562793112232953
13,1258.4989506418272,3.0,kld,0.0008767750023428444
14,1258.4989506418272,4.0,kld,0.00018245767995317408
15,1258.4989506418272,5.0,kld,0.0022189896397804
16,1258.4989506418272,6.0,kld,0.0005526979458725378
17,1258.4989506418272,7.0,kld,0.0004253609601918562
18,1258.4989506418272,8.0,kld,0.00038024572478545515
19,1258.4989506418272,9.0,kld,0.00014684813969845223
20,1583.8196087665788,0.0,kld,0.0010636079009194166
21,1583.8196087665788,1.0,kld,0.0004514160316051452
22,1583.8196087665788,2.0,kld,0.0005074798401361047
23,1583.8196087665788,3.0,kld,0.0006477283688424151
24,1583.8196087665788,4.0,kld,0.0011208415620105328
25,1583.8196087665788,5.0,kld,0.002192116662875776
26,1583.8196087665788,6.0,kld,0.00033208026477327124
27,1583.8196087665788,7.0,kld,0.0012798288625341936
28,1583.8196087665788,8.0,kld,0.0006402499868869427
29,1583.8196087665788,9.0,kld,0.0012121593251026574
30,1993.2353156386887,0.0,kld,0.0004543914961574469
31,1993.2353156386887,1.0,kld,0.000327033628002793
32,1993.2353156386887,2.0,kld,0.0020598153515816175
33,1993.2353156386887,3.0,kld,0.0015109038702185718
34,1993.2353156386887,4.0,kld,0.00208750742913133
35,1993.2353156386887,5.0,kld,0.00031038632389712717
36,1993.2353156386887,6.0,kld,7.203727588867004e-05
37,1993.2353156386887,7.0,kld,0.0006676947320336524
38,1993.2353156386887,8.0,kld,0.00047992297092358527
39,1993.2353156386887,9.0,kld,0.0003438645540678742
40,2508.4845531135184,0.0,kld,0.0013902471533948635
41,2508.4845531135184,1.0,kld,0.00036000911276379277
42,2508.4845531135184,2.0,kld,0.0003264601952148727
43,2508.4845531135184,3.0,kld,0.0002886213411048555
44,2508.4845531135184,4.0,kld,0.0004844989287167145
45,2508.4845531135184,5.0,kld,0.00021448323451678242
46,2508.4845531135184,6.0,kld,0.0005297989616306342
47,2508.4845531135184,7.0,kld,0.0003526450545467963
48,2508.4845531135184,8.0,kld,0.00029410005983487864
49,2508.4845531135184,9.0,kld,0.0003521105093307053
50,3156.925177794596,0.0,kld,0.00043814400040220747
51,3156.925177794596,1.0,kld,0.00019806361397756156
52,3156.925177794596,2.0,kld,0.00014222071589542473
53,3156.925177794596,3.0,kld,0.00019031567988903042
54,3156.925177794596,4.0,kld,0.0005707708235427322
55,3156.925177794596,5.0,kld,0.0009278805760315478
56,3156.925177794596,6.0,kld,0.00016936026820024708
57,3156.925177794596,7.0,kld,0.00024292380360879662
58,3156.925177794596,8.0,kld,0.0007149872338523267
