,iterations,replicate,variable,value
0,1000.0,0.0,distance,12.097048354622162
1,1000.0,1.0,distance,1.813363460545693
2,1000.0,2.0,distance,8.453241320041833
3,1000.0,3.0,distance,42.08428474748739
4,1000.0,4.0,distance,24.393088496766566
5,1000.0,5.0,distance,16.37477202503614
6,1000.0,6.0,distance,7.37772364518794
7,1000.0,7.0,distance,36.50603891711448
8,1000.0,8.0,distance,37.32098105442575
9,1000.0,9.0,distance,13.979734218826641
10,1258.4989506418272,0.0,distance,7.200208465616882
11,1258.4989506418272,1.0,distance,6.968117187517327
12,1258.4989506418272,2.0,distance,61.74721423499968
13,1258.4989506418272,3.0,distance,9.854842755702693
14,1258.4989506418272,4.0,distance,5.1906363019111055
15,1258.4989506418272,5.0,distance,6.727321669949367
16,1258.4989506418272,6.0,distance,2.9091245086280306
17,1258.4989506418272,7.0,distance,16.45114324581913
18,1258.4989506418272,8.0,distance,10.0680720140797
19,1258.4989506418272,9.0,distance,13.728781143705508
20,1583.8196087665788,0.0,distance,12.440799301697975
21,1583.8196087665788,1.0,distance,29.437029668282044
22,1583.8196087665788,2.0,distance,31.988038561823068
23,1583.8196087665788,3.0,distance,234.50121510581397
24,1583.8196087665788,4.0,distance,14.909451351070457
25,1583.8196087665788,5.0,distance,40.39351481570068
26,1583.8196087665788,6.0,distance,152.56674433806774
27,1583.8196087665788,7.0,distance,2.2413149090898212
28,1583.8196087665788,8.0,distance,32.91401125044128
29,1583.8196087665788,9.0,distance,14.957279599467752
30,1993.2353156386887,0.0,distance,13.680285491105717
31,1993.2353156386887,1.0,distance,27.740186976674416
32,1993.2353156386887,2.0,distance,3.4162430131891934
33,1993.2353156386887,3.0,distance,5.834636123124305
34,1993.2353156386887,4.0,distance,30.683122882445815
35,1993.2353156386887,5.0,distance,18.967161033697064
36,1993.2353156386887,6.0,distance,16.810200608428723
37,1993.2353156386887,7.0,distance,26.70899175062115
38,1993.2353156386887,8.0,distance,34.954276090235
39,1993.2353156386887,9.0,distance,5.907745051075594
40,2508.4845531135184,0.0,distance,5.284806588000242
41,2508.4845531135184,1.0,distance,28.380790767295064
42,2508.4845531135184,2.0,distance,17.73499615487151
43,2508.4845531135184,3.0,distance,7.949309588896844
44,2508.4845531135184,4.0,distance,18.269627881688884
45,2508.4845531135184,5.0,distance,29.817563293107295
46,2508.4845531135184,6.0,distance,29.755336447455036
47,2508.4845531135184,7.0,distance,29.489879710369088
48,2508.4845531135184,8.0,distance,2.1977772346877043
49,2508.4845531135184,9.0,distance,27.452726916694655
50,3156.925177794596,0.0,distance,9.201047494832812
51,3156.925177794596,1.0,distance,25.41159521622091
52,3156.925177794596,2.0,distance,1.6398381389928467
53,3156.925177794596,3.0,distance,18.684874143986665
54,3156.925177794596,4.0,distance,42.15932417344595
55,3156.925177794596,5.0,distance,19.221464407938743
56,3156.925177794596,6.0,distance,18.591219554904683
57,3156.925177794596,7.0,distance,2.713948070696116
58,3156.925177794596,8.0,distance,10.206090066446853
59,3156.925177794596,9.0,distance,8.09417299735914
60,3972.987023509263,0.0,distance,3.2936295018156905
61,3972.987023509263,1.0,distance,20.920465866471414
62,3972.987023509263,2.0,distance,60.624246107905634
63,3972.987023509263,3.0,distance,75.97791513260164
64,3972.987023509263,4.0,distance,4.497687064595741
65,3972.987023509263,5.0,distance,8.223880267991653
66,3972.987023509263,6.0,distance,27.365990865421402
67,3972.987023509263,7.0,distance,23.94415226228948
68,3972.987023509263,8.0,distance,19.02964531970434
69,3972.987023509263,9.0,distance,5.629091208105342
70,4999.999999999999,0.0,distance,13.890565782830285
71,4999.999999999999,1.0,distance,8.794846933260343
