,iterations,replicate,variable,value
0,1000.0,0.0,kld,0.014923160185892126
1,1000.0,1.0,kld,0.027996648499381216
2,1000.0,2.0,kld,0.008367192719464622
3,1000.0,3.0,kld,0.008658798962033032
4,1000.0,4.0,kld,0.03887755654851244
5,1000.0,5.0,kld,0.03843154120156056
6,1000.0,6.0,kld,0.01520795996196167
7,1000.0,7.0,kld,0.01055848283486105
8,1000.0,8.0,kld,0.026824691074874174
9,1000.0,9.0,kld,0.0267731000245095
10,1258.4989506418272,0.0,kld,0.02339022804882651
11,1258.4989506418272,1.0,kld,0.013825749462093917
12,1258.4989506418272,2.0,kld,0.012910273032267217
13,1258.4989506418272,3.0,kld,0.01529581948379155
14,1258.4989506418272,4.0,kld,0.01808524516550669
15,1258.4989506418272,5.0,kld,0.009632703692340705
16,1258.4989506418272,6.0,kld,0.02042483277887719
17,1258.4989506418272,7.0,kld,0.010155279962721142
18,1258.4989506418272,8.0,kld,0.01777859103061985
19,1258.4989506418272,9.0,kld,0.00894014574706814
20,1583.8196087665788,0.0,kld,0.008870979650162703
21,1583.8196087665788,1.0,kld,0.013139522361136358
22,1583.8196087665788,2.0,kld,0.009819087475634536
23,1583.8196087665788,3.0,kld,0.008901874995612236
24,1583.8196087665788,4.0,kld,0.006511727482517493
25,1583.8196087665788,5.0,kld,0.01243156229876563
26,1583.8196087665788,6.0,kld,0.02511117156520637
27,1583.8196087665788,7.0,kld,0.012437005704100557
28,1583.8196087665788,8.0,kld,0.010051478568018801
29,1583.8196087665788,9.0,kld,0.005817485131552669
30,1993.2353156386887,0.0,kld,0.010325918595167849
31,1993.2353156386887,1.0,kld,0.0036028931192535474
32,1993.2353156386887,2.0,kld,0.003150694154381739
33,1993.2353156386887,3.0,kld,0.004483161552444326
34,1993.2353156386887,4.0,kld,0.004201866132868659
35,1993.2353156386887,5.0,kld,0.004299405759225383
36,1993.2353156386887,6.0,kld,0.015329386173816406
37,1993.2353156386887,7.0,kld,0.008954066927996607
38,1993.2353156386887,8.0,kld,0.005817547386256727
39,1993.2353156386887,9.0,kld,0.008353567260085626
40,2508.4845531135184,0.0,kld,0.004429225454902319
41,2508.4845531135184,1.0,kld,0.0015121872787609014
42,2508.4845531135184,2.0,kld,0.006800136833176484
43,2508.4845531135184,3.0,kld,0.003146970968444407
44,2508.4845531135184,4.0,kld,0.006646751793400352
45,2508.4845531135184,5.0,kld,0.004681961216242314
46,2508.4845531135184,6.0,kld,0.002913072092797453
47,2508.4845531135184,7.0,kld,0.0065670788090117505
48,2508.4845531135184,8.0,kld,0.0034703127321122906
49,2508.4845531135184,9.0,kld,0.009005872348766264
50,3156.925177794596,0.0,kld,0.002114607765467902
51,3156.925177794596,1.0,kld,0.004221498187263251
52,3156.925177794596,2.0,kld,0.011687762834414528
53,3156.925177794596,3.0,kld,0.005384189349090018
54,3156.925177794596,4.0,kld,0.0057017188844001865
55,3156.925177794596,5.0,kld,0.0026718785653154775
56,3156.925177794596,6.0,kld,0.009524493233371345
57,3156.925177794596,7.0,kld,0.005218685860663985
58,3156.925177794596,8.0,kld,0.0029525292504106737
59,3156.925177794596,9.0,kld,0.007749681026934407
60,3972.987023509263,0.0,kld,0.0025193873932716215
61,3972.987023509263,1.0,kld,0.002798353255847097
62,3972.987023509263,2.0,kld,0.006316208387699085
63,3972.987023509263,3.0,kld,0.0049651740951621726
64,3972.987023509263,4.0,kld,0.0027514148751124345
65,3972.987023509263,5.0,kld,0.00262393711236264
66,3972.987023509263,6.0,kld,0.003608333388742224
67,3972.987023509263,7.0,kld,0.0022680371284118372
68,3972.987023509263,8.0,kld,0.002572856725621797
69,3972.987023509263,9.0,kld,0.0033924447419377834
70,4999.999999999999,0.0,kld,0.0008513927799360665
71,4999.999999999999,1.0,kld,0.003315265923176547
72,4999.999999999999,2.0,kld,0.006481597247707249
73,4999.999999999999,3.0,kld,0.0017666340380939616
74,4999.999999999999,4.0,kld,0.001589400272322905
75,4999.999999999999,5.0,kld,0.0008101259984170106
76,4999.999999999999,6.0,kld,0.0019785322958849605
77,4999.999999999999,7.0,kld,0.0028290022738208798
78,4999.999999999999,8.0,kld,0.003832599121871727
79,4999.999999999999,9.0,kld,0.0033543873613912645
80,1000.0,0.0,ess,23.13580230608098
81,1000.0,1.0,ess,30.35936034123672
82,1000.0,2.0,ess,27.261801770964002
83,1000.0,3.0,ess,31.4851230635517
84,1000.0,4.0,ess,34.19983266923247
85,1000.0,5.0,ess,28.115873302449273
86,1000.0,6.0,ess,24.8324374515087
87,1000.0,7.0,ess,27.129518771549076
88,1000.0,8.0,ess,39.49878898691228
89,1000.0,9.0,ess,26.245951677147428
90,1258.4989506418272,0.0,ess,38.05473032463897
91,1258.4989506418272,1.0,ess,39.25844607802544
92,1258.4989506418272,2.0,ess,28.4921310084809
93,1258.4989506418272,3.0,ess,50.89783498452743
94,1258.4989506418272,4.0,ess,50.447129137729426
95,1258.4989506418272,5.0,ess,38.19862150432734
96,1258.4989506418272,6.0,ess,45.64857853421296
97,1258.4989506418272,7.0,ess,46.377732299344984
98,1258.4989506418272,8.0,ess,32.551671013273925
